       x [mm]         y [mm]         z [mm]   xRe [V.s/m^2]  yRe [V.s/m^2]  zRe [V.s/m^2]  
          -15            -55            -70   -0.000940735    0.000120323   4.88656e-005
          -10            -55            -70    -0.00098022   8.27783e-005   3.39855e-005
           -5            -55            -70    -0.00100442     4.265e-005   1.78806e-005
            0            -55            -70    -0.00101347   1.48748e-007  -3.05308e-008
            5            -55            -70      -0.001005   -4.2315e-005  -1.77073e-005
           10            -55            -70   -0.000980147  -8.28077e-005  -3.43084e-005
           15            -55            -70   -0.000940296    -0.00011971    -4.836e-005
           20            -55            -70   -0.000887669   -0.000152237  -6.11798e-005
           25            -55            -70   -0.000825372   -0.000179054  -7.02497e-005
           30            -55            -70   -0.000756102   -0.000199259  -7.60161e-005
           35            -55            -70   -0.000682302   -0.000214098  -7.97806e-005
           40            -55            -70    -0.00060808    -0.00022318  -8.07814e-005
           45            -55            -70   -0.000532186   -0.000226755  -7.82323e-005
           50            -55            -70   -0.000459437   -0.000227322  -7.54505e-005
           55            -55            -70    -0.00039088   -0.000225059  -7.21999e-005
           60            -55            -70   -0.000324913   -0.000220476  -6.78602e-005
           65            -55            -70   -0.000264349   -0.000215234  -6.30875e-005
           70            -55            -70   -0.000204941   -0.000209512   -5.9361e-005
          -70            -50            -70   -0.000199973    0.000224081   6.74923e-005
          -65            -50            -70   -0.000257025    0.000230477   7.24634e-005
          -60            -50            -70   -0.000318566     0.00023656     7.779e-005
          -55            -50            -70   -0.000385932    0.000242095   8.29435e-005
          -50            -50            -70   -0.000458375    0.000245554   8.90835e-005
          -45            -50            -70   -0.000533524    0.000246284   9.35125e-005
          -40            -50            -70   -0.000614124    0.000242281    9.5162e-005
          -35            -50            -70   -0.000694125    0.000233477   9.49691e-005
          -30            -50            -70    -0.00077421    0.000218256   9.11522e-005
          -25            -50            -70   -0.000849928    0.000196662    8.5585e-005
          -20            -50            -70   -0.000919055    0.000167665   7.45713e-005
          -15            -50            -70   -0.000977189    0.000131742   5.96956e-005
          -10            -50            -70    -0.00102086   9.19209e-005   4.24564e-005
           -5            -50            -70    -0.00104845   4.77421e-005   2.18969e-005
            0            -50            -70    -0.00105822  -5.89164e-008  -1.48329e-007
            5            -50            -70    -0.00104899  -4.72188e-005  -2.18232e-005
           10            -50            -70    -0.00102116  -9.15835e-005  -4.18617e-005
           15            -50            -70   -0.000977326   -0.000132287  -5.97641e-005
           20            -50            -70   -0.000918576   -0.000167946  -7.48126e-005
           25            -50            -70   -0.000850098   -0.000196383   -8.5171e-005
           30            -50            -70   -0.000774286   -0.000218154  -9.09939e-005
           35            -50            -70   -0.000694582   -0.000233321  -9.46514e-005
           40            -50            -70   -0.000613783   -0.000242492  -9.48596e-005
           45            -50            -70   -0.000534437    -0.00024616  -9.33941e-005
           50            -50            -70    -0.00045881   -0.000245864  -8.91545e-005
           55            -50            -70   -0.000386559   -0.000242524  -8.39557e-005
           60            -50            -70   -0.000320066   -0.000237016  -7.77594e-005
           65            -50            -70    -0.00025773   -0.000230521  -7.24885e-005
           70            -50            -70   -0.000199183   -0.000223817  -6.72699e-005
          -70            -45            -70   -0.000192535    0.000231685   7.59154e-005
          -65            -45            -70   -0.000250427    0.000239259   8.19676e-005
          -60            -45            -70   -0.000313437    0.000246467   8.92588e-005
          -55            -45            -70   -0.000381235    0.000253116   9.63189e-005
          -50            -45            -70   -0.000455177    0.000257663    0.000103461
          -45            -45            -70   -0.000534139    0.000258882    0.000107967
          -40            -45            -70   -0.000619015    0.000256035    0.000112415
          -35            -45            -70   -0.000705722    0.000247412    0.000113213
          -30            -45            -70   -0.000793385    0.000232146     0.00011069
          -25            -45            -70   -0.000875585    0.000209441     0.00010261
          -20            -45            -70   -0.000951713    0.000179466   9.05716e-005
          -15            -45            -70    -0.00101576    0.000142216   7.24024e-005
          -10            -45            -70    -0.00106559   9.88684e-005   5.17517e-005
           -5            -45            -70    -0.00109657   4.97293e-005   2.60267e-005
            0            -45            -70    -0.00110716  -9.44953e-009   -6.2651e-008
            5            -45            -70     -0.0010972  -5.04019e-005  -2.65708e-005
           10            -45            -70    -0.00106551  -9.81662e-005  -5.11568e-005
           15            -45            -70    -0.00101672   -0.000141619  -7.28915e-005
           20            -45            -70   -0.000951921   -0.000178906  -8.97186e-005
           25            -45            -70   -0.000875666   -0.000209583   -0.000102581
           30            -45            -70   -0.000794279   -0.000231422    -0.00010906
           35            -45            -70   -0.000706584   -0.000247413   -0.000113521
           40            -45            -70   -0.000620664   -0.000255871   -0.000112125
           45            -45            -70   -0.000535612   -0.000259177   -0.000108866
           50            -45            -70   -0.000455523   -0.000257726   -0.000103441
           55            -45            -70   -0.000380551   -0.000253383  -9.81831e-005
           60            -45            -70   -0.000311859   -0.000246523  -8.90169e-005
           65            -45            -70   -0.000250138   -0.000239246  -8.24589e-005
           70            -45            -70    -0.00019295   -0.000231889  -7.60218e-005
          -70            -40            -70   -0.000186164    0.000233255   8.54653e-005
          -65            -40            -70   -0.000242174    0.000240919   9.23805e-005
          -60            -40            -70   -0.000305331    0.000249088    0.000101717
          -55            -40            -70   -0.000374421    0.000256777    0.000111315
          -50            -40            -70   -0.000451768    0.000262534    0.000119683
          -45            -40            -70   -0.000536047    0.000264679     0.00012582
          -40            -40            -70   -0.000626093    0.000262553    0.000132406
          -35            -40            -70    -0.00071885    0.000254369    0.000133929
          -30            -40            -70   -0.000810495    0.000240416     0.00013226
          -25            -40            -70   -0.000902606    0.000216604    0.000121991
          -20            -40            -70   -0.000985815    0.000186159    0.000107357
          -15            -40            -70    -0.00105695    0.000147555   8.74139e-005
          -10            -40            -70     -0.0011136    0.000102533   6.23206e-005
           -5            -40            -70    -0.00114684   5.26541e-005    3.2096e-005
            0            -40            -70    -0.00115915   3.68493e-007   1.33454e-007
            5            -40            -70     -0.0011474  -5.25879e-005  -3.15262e-005
           10            -40            -70    -0.00111276   -0.000102565  -6.17917e-005
           15            -40            -70    -0.00105761   -0.000147009  -8.65577e-005
           20            -40            -70   -0.000986795   -0.000186148    -0.00010837
           25            -40            -70    -0.00090248   -0.000216825   -0.000122361
           30            -40            -70   -0.000811059   -0.000239735    -0.00013168
           35            -40            -70   -0.000718028   -0.000254557   -0.000133986
           40            -40            -70   -0.000624871   -0.000262328   -0.000131153
           45            -40            -70   -0.000535251   -0.000264668   -0.000126897
           50            -40            -70   -0.000452467   -0.000262347    -0.00011969
           55            -40            -70   -0.000374757   -0.000256449   -0.000110222
           60            -40            -70   -0.000306504   -0.000249387   -0.000102027
           65            -40            -70   -0.000242987   -0.000240999  -9.22104e-005
           70            -40            -70   -0.000185921   -0.000233169  -8.51861e-005
          -70            -35            -70   -0.000178053    0.000226936   9.54889e-005
          -65            -35            -70   -0.000233928    0.000235409    0.000104324
          -60            -35            -70   -0.000296968     0.00024397    0.000114169
          -55            -35            -70   -0.000368588    0.000251888     0.00012625
          -50            -35            -70   -0.000447118    0.000258752    0.000137238
          -45            -35            -70   -0.000534372    0.000261692     0.00014649
          -40            -35            -70   -0.000628555    0.000260484    0.000153318
          -35            -35            -70   -0.000729693    0.000253262    0.000155911
          -30            -35            -70   -0.000830195    0.000239387    0.000153552
          -25            -35            -70   -0.000929434    0.000217273    0.000145275
          -20            -35            -70    -0.00102021    0.000186963    0.000126552
          -15            -35            -70    -0.00110066    0.000148896    0.000104286
          -10            -35            -70    -0.00116143    0.000103306   7.42622e-005
           -5            -35            -70    -0.00119993   5.31464e-005   3.81982e-005
            0            -35            -70    -0.00121339   -5.8561e-007  -7.85819e-007
            5            -35            -70    -0.00119956  -5.32374e-005  -3.84273e-005
           10            -35            -70    -0.00116066   -0.000103663  -7.40343e-005
           15            -35            -70    -0.00110011   -0.000148648   -0.000104316
           20            -35            -70    -0.00102144   -0.000186625   -0.000127363
           25            -35            -70   -0.000928374   -0.000217906    -0.00014524
           30            -35            -70   -0.000830635   -0.000239237   -0.000153779
           35            -35            -70   -0.000728642   -0.000253799   -0.000156669
           40            -35            -70   -0.000629158   -0.000260809   -0.000153081
           45            -35            -70   -0.000534162   -0.000261796   -0.000145704
           50            -35            -70   -0.000446996   -0.000258528   -0.000136889
           55            -35            -70   -0.000367338   -0.000251802   -0.000125499
           60            -35            -70   -0.000297002   -0.000244225   -0.000114886
           65            -35            -70   -0.000234079   -0.000235454   -0.000104884
           70            -35            -70   -0.000177874    -0.00022701  -9.57989e-005
          -70            -30            -70   -0.000170576    0.000213004    0.000104514
          -65            -30            -70   -0.000225319    0.000221497    0.000116004
          -60            -30            -70   -0.000287918    0.000230774    0.000128726
          -55            -30            -70   -0.000360325    0.000239148    0.000141151
          -50            -30            -70   -0.000440762    0.000246062    0.000153035
          -45            -30            -70   -0.000532988     0.00024974    0.000166748
          -40            -30            -70   -0.000632841    0.000249302    0.000174745
          -35            -30            -70   -0.000738385    0.000243309    0.000179079
          -30            -30            -70   -0.000846338    0.000230639    0.000176902
          -25            -30            -70   -0.000955234    0.000210065    0.000168373
          -20            -30            -70    -0.00105512    0.000181292    0.000149794
          -15            -30            -70    -0.00114119    0.000144523    0.000121756
          -10            -30            -70    -0.00120839    0.000100658   8.65902e-005
           -5            -30            -70    -0.00125142    5.1156e-005   4.47845e-005
            0            -30            -70    -0.00126582   1.68131e-009  -9.14237e-008
            5            -30            -70    -0.00125065  -5.15761e-005    -4.455e-005
           10            -30            -70    -0.00120925   -0.000100304  -8.66821e-005
           15            -30            -70    -0.00114032   -0.000144345   -0.000121431
           20            -30            -70     -0.0010556   -0.000181101   -0.000150186
           25            -30            -70   -0.000954879   -0.000209745   -0.000166914
           30            -30            -70   -0.000848046   -0.000230356   -0.000176806
           35            -30            -70   -0.000738268    -0.00024297   -0.000178072
           40            -30            -70   -0.000631378   -0.000249915   -0.000176245
           45            -30            -70   -0.000533322   -0.000249835   -0.000166259
           50            -30            -70   -0.000442042   -0.000245948   -0.000155099
           55            -30            -70   -0.000359319   -0.000238688   -0.000140565
           60            -30            -70   -0.000288697   -0.000230656   -0.000127762
           65            -30            -70   -0.000225093    -0.00022154    -0.00011574
           70            -30            -70   -0.000170125   -0.000213143   -0.000104953
          -70            -25            -70   -0.000162195    0.000191737    0.000114294
          -65            -25            -70   -0.000216124    0.000200299    0.000126923
          -60            -25            -70   -0.000279382    0.000208275    0.000140204
          -55            -25            -70   -0.000352906    0.000216455    0.000156895
          -50            -25            -70   -0.000435855    0.000223919    0.000172206
          -45            -25            -70   -0.000530995    0.000228051    0.000184268
          -40            -25            -70   -0.000633654    0.000228623    0.000197867
          -35            -25            -70   -0.000747374    0.000224016    0.000203756
          -30            -25            -70   -0.000863904    0.000212203    0.000200993
          -25            -25            -70   -0.000978153    0.000193956    0.000192149
          -20            -25            -70    -0.00108767    0.000167011    0.000170259
          -15            -25            -70    -0.00117991    0.000133549    0.000138785
          -10            -25            -70    -0.00125348   9.35098e-005   9.97104e-005
           -5            -25            -70    -0.00129985    4.7998e-005   5.11355e-005
            0            -25            -70    -0.00131635   6.73865e-008   5.11393e-008
            5            -25            -70    -0.00129962  -4.86699e-005   -5.1909e-005
           10            -25            -70    -0.00125329  -9.35558e-005   -9.9194e-005
           15            -25            -70    -0.00118067   -0.000133995   -0.000139815
           20            -25            -70    -0.00108669   -0.000167445   -0.000170286
           25            -25            -70   -0.000977416   -0.000194497   -0.000190803
           30            -25            -70   -0.000863531   -0.000212774   -0.000203319
           35            -25            -70   -0.000747955   -0.000223545   -0.000202485
           40            -25            -70   -0.000634996   -0.000228292   -0.000196662
           45            -25            -70   -0.000530516   -0.000227951   -0.000185328
           50            -25            -70   -0.000435894   -0.000223626   -0.000172195
           55            -25            -70   -0.000352144   -0.000216264   -0.000156247
           60            -25            -70   -0.000278851   -0.000207856   -0.000142232
           65            -25            -70   -0.000216325   -0.000199672   -0.000127083
           70            -25            -70   -0.000161326   -0.000191671   -0.000114531
          -70            -20            -70   -0.000155539    0.000163359    0.000121296
          -65            -20            -70   -0.000208132    0.000170182    0.000136237
          -60            -20            -70   -0.000271043    0.000178313    0.000153014
          -55            -20            -70   -0.000343899    0.000185563     0.00017082
          -50            -20            -70   -0.000430059    0.000191622    0.000187195
          -45            -20            -70   -0.000527787    0.000196593    0.000204402
          -40            -20            -70   -0.000636559    0.000198304    0.000218058
          -35            -20            -70   -0.000752621     0.00019361    0.000224737
          -30            -20            -70   -0.000876142    0.000185142    0.000222791
          -25            -20            -70    -0.00100009    0.000168886    0.000213694
          -20            -20            -70    -0.00111409    0.000146943    0.000192074
          -15            -20            -70    -0.00121672    0.000116372    0.000157617
          -10            -20            -70     -0.0012953    8.1668e-005    0.000112323
           -5            -20            -70    -0.00134493   4.18971e-005    5.7815e-005
            0            -20            -70    -0.00136214   5.68303e-007    9.8955e-007
            5            -20            -70    -0.00134531  -4.17658e-005  -5.82287e-005
           10            -20            -70    -0.00129346  -8.19461e-005   -0.000111141
           15            -20            -70    -0.00121546   -0.000117218   -0.000157046
           20            -20            -70    -0.00111497   -0.000146841   -0.000191738
           25            -20            -70   -0.000999515    -0.00016906   -0.000213201
           30            -20            -70   -0.000875703   -0.000184953   -0.000223583
           35            -20            -70   -0.000753282   -0.000194152    -0.00022525
           40            -20            -70   -0.000638446   -0.000197137   -0.000212362
           45            -20            -70   -0.000529173   -0.000196799   -0.000205138
           50            -20            -70   -0.000429377   -0.000192486   -0.000187863
           55            -20            -70   -0.000343715   -0.000185187     -0.0001689
           60            -20            -70     -0.0002715   -0.000178053   -0.000152382
           65            -20            -70   -0.000208667   -0.000170393   -0.000137974
           70            -20            -70   -0.000155082   -0.000163143   -0.000122864
          -70            -15            -70   -0.000148585    0.000128977    0.000127425
          -65            -15            -70   -0.000202112    0.000134687    0.000144691
          -60            -15            -70   -0.000263809    0.000140941    0.000163166
          -55            -15            -70   -0.000337037    0.000146498    0.000183131
          -50            -15            -70   -0.000425551    0.000152897    0.000201239
          -45            -15            -70   -0.000525616    0.000156431    0.000221092
          -40            -15            -70   -0.000640294    0.000158198    0.000235035
          -35            -15            -70    -0.00076017    0.000156066    0.000245355
          -30            -15            -70   -0.000887287    0.000148591    0.000244658
          -25            -15            -70    -0.00101652    0.000135762    0.000233075
          -20            -15            -70    -0.00113784    0.000118642    0.000210538
          -15            -15            -70     -0.0012436   9.45523e-005    0.000172006
          -10            -15            -70    -0.00132808   6.59896e-005    0.000121656
           -5            -15            -70    -0.00138169   3.35704e-005   6.28514e-005
            0            -15            -70    -0.00140054   8.41736e-008  -5.07935e-008
            5            -15            -70    -0.00138095  -3.40185e-005  -6.32372e-005
           10            -15            -70     -0.0013269    -6.671e-005   -0.000123694
           15            -15            -70    -0.00124562  -9.43293e-005   -0.000173326
           20            -15            -70    -0.00113849   -0.000117204   -0.000208416
           25            -15            -70    -0.00101628   -0.000135858    -0.00023412
           30            -15            -70   -0.000888873    -0.00014804   -0.000244566
           35            -15            -70   -0.000759893   -0.000155399   -0.000245159
           40            -15            -70   -0.000637433   -0.000157419   -0.000234989
           45            -15            -70   -0.000526003    -0.00015671   -0.000221016
           50            -15            -70    -0.00042557   -0.000152492   -0.000202454
           55            -15            -70   -0.000337807   -0.000146766   -0.000182173
           60            -15            -70   -0.000264502   -0.000141384   -0.000161604
           65            -15            -70   -0.000201629   -0.000134534    -0.00014478
           70            -15            -70   -0.000149929   -0.000128861   -0.000130473
          -70            -10            -70    -0.00014482    8.8642e-005    0.000134714
          -65            -10            -70   -0.000196097   9.24003e-005    0.000148757
          -60            -10            -70   -0.000259307   9.76679e-005    0.000170151
          -55            -10            -70   -0.000332757    0.000101683    0.000191807
          -50            -10            -70   -0.000420464    0.000105914    0.000213122
          -45            -10            -70   -0.000521828    0.000109213    0.000233054
          -40            -10            -70   -0.000635394    0.000109939    0.000251016
          -35            -10            -70   -0.000762965    0.000108045    0.000259194
          -30            -10            -70    -0.00089601    0.000102702    0.000259645
          -25            -10            -70    -0.00102985   9.49356e-005     0.00024955
          -20            -10            -70    -0.00115471   8.29351e-005    0.000222545
          -15            -10            -70    -0.00126754   6.63142e-005    0.000184501
          -10            -10            -70     -0.0013547   4.63127e-005     0.00013163
           -5            -10            -70     -0.0014105   2.38977e-005   6.77907e-005
            0            -10            -70    -0.00142832   9.78004e-008   6.97276e-007
            5            -10            -70    -0.00141083  -2.37348e-005  -6.81732e-005
           10            -10            -70    -0.00135382  -4.64336e-005   -0.000129678
           15            -10            -70    -0.00126532  -6.63247e-005   -0.000182737
           20            -10            -70    -0.00115545  -8.25617e-005   -0.000223752
           25            -10            -70    -0.00102754  -9.53852e-005   -0.000247076
           30            -10            -70   -0.000894398   -0.000103735   -0.000258004
           35            -10            -70   -0.000763173   -0.000108369   -0.000258163
           40            -10            -70    -0.00063674   -0.000109904   -0.000249423
           45            -10            -70   -0.000523687   -0.000108487   -0.000232562
           50            -10            -70    -0.00042082    -0.00010618   -0.000214391
           55            -10            -70   -0.000333336   -0.000101748   -0.000191803
           60            -10            -70   -0.000258766  -9.75063e-005   -0.000170996
           65            -10            -70   -0.000196281   -9.2474e-005   -0.000149702
           70            -10            -70    -0.00014429  -8.82909e-005   -0.000135535
          -70             -5            -70   -0.000141362   4.53931e-005    0.000137756
          -65             -5            -70   -0.000193069   4.71214e-005    0.000154483
          -60             -5            -70   -0.000254958   4.98391e-005    0.000175308
          -55             -5            -70   -0.000330236   5.20885e-005    0.000195865
          -50             -5            -70   -0.000417787   5.45329e-005    0.000219123
          -45             -5            -70   -0.000520582   5.58047e-005    0.000241676
          -40             -5            -70   -0.000636842   5.62753e-005    0.000258114
          -35             -5            -70   -0.000766285   5.52239e-005    0.000269612
          -30             -5            -70   -0.000901077   5.27625e-005    0.000270595
          -25             -5            -70    -0.00103747   4.87466e-005     0.00026206
          -20             -5            -70    -0.00116745   4.23657e-005    0.000232457
          -15             -5            -70    -0.00128125   3.41956e-005    0.000191354
          -10             -5            -70     -0.0013707   2.39556e-005    0.000135994
           -5             -5            -70    -0.00142832   1.25708e-005   7.17308e-005
            0             -5            -70    -0.00144707  -5.27861e-008  -6.08954e-007
            5             -5            -70    -0.00142789  -1.23332e-005   -7.1603e-005
           10             -5            -70    -0.00137013  -2.35502e-005   -0.000136808
           15             -5            -70    -0.00128168  -3.36357e-005   -0.000190948
           20             -5            -70    -0.00116815  -4.18459e-005   -0.000233121
           25             -5            -70    -0.00103643  -4.95183e-005   -0.000257443
           30             -5            -70   -0.000900246  -5.30094e-005   -0.000270661
           35             -5            -70   -0.000765762   -5.5796e-005   -0.000267466
           40             -5            -70   -0.000638937  -5.69319e-005   -0.000259739
           45             -5            -70   -0.000520391  -5.63234e-005   -0.000241604
           50             -5            -70   -0.000418787  -5.37213e-005   -0.000218949
           55             -5            -70   -0.000330153  -5.26206e-005   -0.000196947
           60             -5            -70    -0.00025525  -4.94534e-005   -0.000175887
           65             -5            -70   -0.000192415  -4.70865e-005   -0.000155876
           70             -5            -70   -0.000141461  -4.51086e-005   -0.000138451
          -70              0            -70   -0.000140025  -2.01138e-006    0.000140322
          -65              0            -70   -0.000191317   -2.0427e-006    0.000157429
          -60              0            -70   -0.000253324  -2.27844e-006    0.000177707
          -55              0            -70   -0.000328223  -2.57254e-006    0.000200012
          -50              0            -70    -0.00041697  -2.30692e-006    0.000222122
          -45              0            -70    -0.00052022  -2.35249e-006    0.000243461
          -40              0            -70   -0.000637552  -2.42894e-006    0.000261384
          -35              0            -70   -0.000766087  -2.33909e-006    0.000274375
          -30              0            -70    -0.00090224  -2.44419e-006    0.000274212
          -25              0            -70    -0.00104046  -2.07189e-006    0.000263424
          -20              0            -70    -0.00117146  -1.96366e-006    0.000236018
          -15              0            -70    -0.00128642   -1.5197e-006    0.000194808
          -10              0            -70    -0.00137703  -1.11602e-006    0.000138968
           -5              0            -70    -0.00143541   -4.7425e-007    7.2674e-005
            0              0            -70     -0.0014553   8.28982e-009  -6.82253e-008
            5              0            -70    -0.00143538   5.89392e-007  -7.26861e-005
           10              0            -70    -0.00137797   1.08976e-006    -0.00014016
           15              0            -70    -0.00128695    1.3795e-006   -0.000196224
           20              0            -70    -0.00117117   1.97943e-006   -0.000237162
           25              0            -70    -0.00104004   2.08764e-006     -0.0002621
           30              0            -70   -0.000902481   2.31559e-006   -0.000276293
           35              0            -70   -0.000765868    2.5036e-006   -0.000273952
           40              0            -70   -0.000637168    2.4622e-006   -0.000262991
           45              0            -70   -0.000520181   2.27834e-006   -0.000245158
           50              0            -70   -0.000417079   2.36302e-006   -0.000222156
           55              0            -70   -0.000328191   2.31323e-006   -0.000199919
           60              0            -70   -0.000253305   2.19635e-006   -0.000177773
           65              0            -70   -0.000191302   2.09969e-006   -0.000157277
           70              0            -70   -0.000140275   2.03986e-006   -0.000139448
          -70              5            -70   -0.000141362  -4.53931e-005    0.000137756
          -65              5            -70   -0.000193069  -4.71214e-005    0.000154483
          -60              5            -70   -0.000254958  -4.98391e-005    0.000175308
          -55              5            -70   -0.000330236  -5.20885e-005    0.000195865
          -50              5            -70   -0.000417787  -5.45329e-005    0.000219123
          -45              5            -70   -0.000520582  -5.58047e-005    0.000241676
          -40              5            -70   -0.000636842  -5.62753e-005    0.000258114
          -35              5            -70   -0.000766285  -5.52239e-005    0.000269612
          -30              5            -70   -0.000901077  -5.27625e-005    0.000270595
          -25              5            -70    -0.00103747  -4.87466e-005     0.00026206
          -20              5            -70    -0.00116745  -4.23657e-005    0.000232457
          -15              5            -70    -0.00128125  -3.41956e-005    0.000191354
