       x [mm]         y [mm]         z [mm]   xRe [V.s/m^2]  yRe [V.s/m^2]  zRe [V.s/m^2]  
          -15             55            -60   -0.000985691   -0.000154687    0.000116094
          -10             55            -60    -0.00103322   -0.000107284   8.12063e-005
           -5             55            -60    -0.00106425  -5.53078e-005   4.24093e-005
            0             55            -60    -0.00107238    8.6299e-008  -6.68964e-009
            5             55            -60    -0.00106338   5.57855e-005  -4.24235e-005
           10             55            -60    -0.00103338     0.00010741    -8.133e-005
           15             55            -60   -0.000984902    0.000155681    -0.00011659
           20             55            -60   -0.000922894    0.000194958   -0.000144191
           25             55            -60   -0.000849564    0.000225844   -0.000164381
           30             55            -60   -0.000769728     0.00024873   -0.000177521
           35             55            -60   -0.000688316    0.000263915    -0.00018437
           40             55            -60   -0.000604626     0.00027114   -0.000184561
           45             55            -60    -0.00052544     0.00027128    -0.00017913
           50             55            -60   -0.000447961    0.000268768   -0.000173118
           55             55            -60   -0.000376227    0.000261457   -0.000162588
           60             55            -60   -0.000310494    0.000252723   -0.000152101
           65             55            -60    -0.00024904    0.000243121   -0.000141857
           70             55            -60   -0.000193013    0.000234398   -0.000132226
          -70             60            -60   -0.000201437   -0.000211947    0.000117022
          -65             60            -60   -0.000257911   -0.000218928    0.000123552
          -60             60            -60   -0.000317231   -0.000225934    0.000130944
          -55             60            -60    -0.00038287   -0.000232787    0.000138736
          -50             60            -60   -0.000452033   -0.000238223    0.000145468
          -45             60            -60   -0.000525381    -0.00024012    0.000151021
          -40             60            -60   -0.000600595   -0.000238087    0.000153106
          -35             60            -60   -0.000676672   -0.000230763    0.000151694
          -30             60            -60   -0.000751889   -0.000217132    0.000145414
          -25             60            -60   -0.000825279   -0.000196855    0.000134275
          -20             60            -60   -0.000889645   -0.000168142    0.000116043
          -15             60            -60   -0.000944401   -0.000133668   9.29978e-005
          -10             60            -60   -0.000985718  -9.26276e-005   6.50099e-005
           -5             60            -60    -0.00101176  -4.82167e-005   3.39903e-005
            0             60            -60    -0.00102025  -2.03463e-007   8.16797e-008
            5             60            -60    -0.00101194    4.7089e-005  -3.35077e-005
           10             60            -60   -0.000986098    9.2515e-005  -6.49254e-005
           15             60            -60   -0.000945661    0.000133131  -9.32347e-005
           20             60            -60   -0.000890392    0.000168863   -0.000116749
           25             60            -60   -0.000824803    0.000196509   -0.000133768
           30             60            -60   -0.000752827    0.000217371   -0.000145777
           35             60            -60   -0.000677472    0.000230144    -0.00015097
           40             60            -60   -0.000600363     0.00023798   -0.000153266
           45             60            -60   -0.000525489      0.0002406   -0.000151371
           50             60            -60   -0.000452385    0.000237492   -0.000145008
           55             60            -60    -0.00038351    0.000232929   -0.000139174
           60             60            -60   -0.000318215    0.000225937    -0.00013117
           65             60            -60   -0.000257513     0.00021859   -0.000123405
           70             60            -60   -0.000200831    0.000211398   -0.000116436
          -70             65            -60   -0.000207553   -0.000183112    0.000102558
          -65             65            -60   -0.000264785   -0.000189261    0.000108391
          -60             65            -60   -0.000324728   -0.000194551     0.00011333
          -55             65            -60   -0.000388212   -0.000199783    0.000118955
          -50             65            -60   -0.000455343   -0.000203146    0.000123223
          -45             65            -60    -0.00052446   -0.000204428    0.000127097
          -40             65            -60   -0.000597208    -0.00020205    0.000128216
          -35             65            -60   -0.000667795   -0.000194733    0.000125353
          -30             65            -60   -0.000736513   -0.000182719    0.000119428
          -25             65            -60   -0.000801112   -0.000164934    0.000109201
          -20             65            -60   -0.000860602   -0.000140617   9.41444e-005
          -15             65            -60   -0.000909703   -0.000111192   7.52693e-005
          -10             65            -60   -0.000946454  -7.73666e-005   5.24819e-005
           -5             65            -60   -0.000968829  -3.93251e-005   2.68587e-005
            0             65            -60   -0.000977859   1.74594e-007  -1.42534e-007
            5             65            -60   -0.000969624   3.95843e-005  -2.70138e-005
           10             65            -60   -0.000947251   7.73992e-005  -5.26437e-005
           15             65            -60   -0.000909535    0.000111335  -7.54339e-005
           20             65            -60   -0.000859805    0.000140879  -9.44625e-005
           25             65            -60   -0.000802786    0.000164637    -0.00010894
           30             65            -60   -0.000737427    0.000182846   -0.000119478
           35             65            -60   -0.000668105    0.000194672   -0.000125198
           40             65            -60   -0.000595994    0.000201635   -0.000127717
           45             65            -60   -0.000524865    0.000204627   -0.000127186
           50             65            -60   -0.000455463    0.000203596   -0.000123928
           55             65            -60   -0.000387891    0.000200209   -0.000119647
           60             65            -60   -0.000324681    0.000194628   -0.000113659
           65             65            -60   -0.000263876    0.000189043   -0.000107854
           70             65            -60   -0.000207162     0.00018324   -0.000102644
          -70             70            -60   -0.000212346   -0.000150782   9.14227e-005
          -65             70            -60   -0.000270046    -0.00015547   9.57132e-005
          -60             70            -60   -0.000329459   -0.000159585   9.96133e-005
          -55             70            -60   -0.000391659   -0.000163178    0.000103228
          -50             70            -60   -0.000458019    -0.00016546    0.000106028
          -45             70            -60   -0.000523671   -0.000166343     0.00010884
          -40             70            -60   -0.000591242   -0.000163293    0.000108159
          -35             70            -60   -0.000657676   -0.000157519    0.000105242
          -30             70            -60   -0.000722937   -0.000146553   9.90391e-005
          -25             70            -60   -0.000782718   -0.000132048   9.00569e-005
          -20             70            -60   -0.000836358   -0.000113037   7.74726e-005
          -15             70            -60   -0.000880767  -8.86016e-005   6.11506e-005
          -10             70            -60   -0.000914066  -6.17644e-005   4.28171e-005
           -5             70            -60   -0.000934459   -3.1633e-005   2.21855e-005
            0             70            -60     -0.0009412  -3.69701e-007   3.08079e-007
            5             70            -60    -0.00093411   3.18874e-005  -2.22304e-005
           10             70            -60   -0.000914288   6.17591e-005  -4.28931e-005
           15             70            -60   -0.000880547   8.87732e-005  -6.12755e-005
           20             70            -60   -0.000836405     0.00011244  -7.74273e-005
           25             70            -60   -0.000782964    0.000132084  -9.00716e-005
           30             70            -60   -0.000723567    0.000147112  -9.92799e-005
           35             70            -60   -0.000657773    0.000157413   -0.000105073
           40             70            -60   -0.000591438    0.000163984   -0.000108395
           45             70            -60   -0.000523792    0.000165343   -0.000107783
           50             70            -60   -0.000458198    0.000165479   -0.000106414
           55             70            -60   -0.000392712    0.000163149   -0.000103154
           60             70            -60   -0.000329434     0.00016024  -9.96138e-005
           65             70            -60   -0.000269119    0.000155611  -9.54081e-005
           70             70            -60   -0.000212074    0.000151797  -9.16359e-005
          -70            -70            -55   -0.000207996    0.000161915    0.000112195
          -65            -70            -55   -0.000264912    0.000168715     0.00011776
          -60            -70            -55      -0.000325    0.000174557    0.000123069
          -55            -70            -55   -0.000387658     0.00017887    0.000127761
          -50            -70            -55   -0.000454068    0.000183025    0.000131833
          -45            -70            -55   -0.000523287    0.000184366    0.000134349
          -40            -70            -55   -0.000593177    0.000183415    0.000134755
          -35            -70            -55   -0.000662291    0.000177546    0.000131466
          -30            -70            -55   -0.000730483    0.000167486    0.000124887
          -25            -70            -55   -0.000793857    0.000151043    0.000113207
          -20            -70            -55   -0.000851094    0.000129417    9.7489e-005
          -15            -70            -55   -0.000899342    0.000103177   7.80297e-005
          -10            -70            -55   -0.000936008   7.10583e-005   5.40417e-005
           -5            -70            -55   -0.000959148   3.60404e-005   2.73209e-005
            0            -70            -55   -0.000966611  -3.78536e-008   1.15168e-009
            5            -70            -55   -0.000959119   -3.6691e-005   -2.7963e-005
           10            -70            -55   -0.000936038  -7.12772e-005  -5.40195e-005
           15            -70            -55   -0.000899739   -0.000102929  -7.77276e-005
           20            -70            -55   -0.000853758    -0.00012979  -9.78625e-005
           25            -70            -55   -0.000794923    -0.00015146   -0.000113553
           30            -70            -55   -0.000731315   -0.000166386   -0.000124249
           35            -70            -55   -0.000663401   -0.000177759   -0.000131538
           40            -70            -55   -0.000594072   -0.000182829    -0.00013427
           45            -70            -55   -0.000523016   -0.000184598   -0.000134414
           50            -70            -55   -0.000454801   -0.000183622   -0.000132236
           55            -70            -55   -0.000388071   -0.000179049   -0.000127828
           60            -70            -55   -0.000325267   -0.000174333   -0.000123014
           65            -70            -55   -0.000265124   -0.000168492   -0.000117828
           70            -70            -55   -0.000207428   -0.000162539   -0.000112554
          -70            -65            -55   -0.000202062    0.000197389    0.000126266
          -65            -65            -55   -0.000257953    0.000204772    0.000133236
          -60            -65            -55   -0.000318092    0.000212593     0.00014056
          -55            -65            -55   -0.000382801    0.000220393    0.000148062
          -50            -65            -55   -0.000450954    0.000226027    0.000154498
          -45            -65            -55   -0.000522169     0.00022939    0.000159337
          -40            -65            -55   -0.000596606     0.00022858    0.000161361
          -35            -65            -55   -0.000670993    0.000221575    0.000157936
          -30            -65            -55   -0.000745105    0.000209589    0.000151197
          -25            -65            -55   -0.000815238    0.000190457    0.000138904
          -20            -65            -55   -0.000879745    0.000164161    0.000120579
          -15            -65            -55   -0.000933219    0.000130163   9.61716e-005
          -10            -65            -55   -0.000974525   9.00178e-005   6.68692e-005
           -5            -65            -55    -0.00100021   4.60748e-005   3.42784e-005
            0            -65            -55    -0.00100799   5.97431e-008   2.63282e-007
            5            -65            -55   -0.000999339  -4.62043e-005  -3.43317e-005
           10            -65            -55    -0.00097386  -9.05295e-005  -6.71044e-005
           15            -65            -55   -0.000933255   -0.000129989  -9.61006e-005
           20            -65            -55   -0.000878843   -0.000163964   -0.000120347
           25            -65            -55    -0.00081566   -0.000190331   -0.000138785
           30            -65            -55   -0.000745403   -0.000209106   -0.000150905
           35            -65            -55    -0.00067055    -0.00022171    -0.00015797
           40            -65            -55   -0.000597385   -0.000228026    -0.00016072
           45            -65            -55    -0.00052128   -0.000228769   -0.000158938
           50            -65            -55    -0.00045063   -0.000225468    -0.00015397
           55            -65            -55   -0.000382938   -0.000220114   -0.000148034
           60            -65            -55   -0.000318328    -0.00021298   -0.000140668
           65            -65            -55   -0.000258123   -0.000205049    -0.00013337
           70            -65            -55    -0.00020121   -0.000197157   -0.000126146
          -70            -60            -55   -0.000194409    0.000228126    0.000143598
          -65            -60            -55   -0.000249403    0.000238328    0.000153141
          -60            -60            -55   -0.000309602     0.00024797    0.000162822
          -55            -60            -55   -0.000374668    0.000257127    0.000172515
          -50            -60            -55   -0.000445376    0.000265424    0.000182284
          -45            -60            -55   -0.000519367    0.000270714    0.000189707
          -40            -60            -55   -0.000598811    0.000270392    0.000193188
          -35            -60            -55   -0.000680982    0.000264644    0.000192344
          -30            -60            -55   -0.000762572    0.000251197    0.000185407
          -25            -60            -55   -0.000840766    0.000228886    0.000171006
          -20            -60            -55   -0.000913209    0.000197783    0.000149707
          -15            -60            -55   -0.000973861     0.00015727    0.000119932
          -10            -60            -55    -0.00102059    0.000110274   8.45174e-005
           -5            -60            -55    -0.00105004   5.65638e-005   4.34558e-005
            0            -60            -55    -0.00105929  -7.08862e-008   1.83866e-009
            5            -60            -55    -0.00104941  -5.62274e-005  -4.32098e-005
           10            -60            -55    -0.00102123   -0.000110392  -8.49486e-005
           15            -60            -55   -0.000974007   -0.000157849   -0.000120181
           20            -60            -55   -0.000912535   -0.000197336   -0.000149326
           25            -60            -55   -0.000840942   -0.000229228   -0.000171487
           30            -60            -55   -0.000761828   -0.000251525   -0.000185733
           35            -60            -55   -0.000681032   -0.000264622    -0.00019258
           40            -60            -55   -0.000599479   -0.000270996   -0.000193639
           45            -60            -55   -0.000519159   -0.000270876   -0.000190079
           50            -60            -55   -0.000444949   -0.000265899    -0.00018264
           55            -60            -55   -0.000374504   -0.000257348   -0.000172941
           60            -60            -55   -0.000309269   -0.000247569   -0.000162665
           65            -60            -55   -0.000249218   -0.000237999   -0.000153045
           70            -60            -55    -0.00019327    -0.00022824   -0.000143539
          -70            -55            -55   -0.000182803    0.000253954    0.000163878
          -65            -55            -55   -0.000238138    0.000265446    0.000175729
          -60            -55            -55    -0.00029726    0.000279011    0.000190078
          -55            -55            -55   -0.000364106    0.000290709    0.000203472
          -50            -55            -55   -0.000437172    0.000300968    0.000216249
          -45            -55            -55   -0.000517304    0.000308877    0.000227801
          -40            -55            -55   -0.000601576    0.000310406     0.00023468
          -35            -55            -55   -0.000691356    0.000306159    0.000236412
          -30            -55            -55   -0.000781074    0.000292099    0.000229497
          -25            -55            -55   -0.000868236    0.000266965    0.000212771
          -20            -55            -55   -0.000951065    0.000232101    0.000187709
          -15            -55            -55    -0.00102195    0.000185288    0.000151178
          -10            -55            -55    -0.00107507    0.000129043    0.000105952
           -5            -55            -55    -0.00111048    6.7178e-005   5.55432e-005
            0            -55            -55    -0.00112328  -5.88693e-007  -6.13835e-007
            5            -55            -55    -0.00111174  -6.68776e-005  -5.53741e-005
           10            -55            -55     -0.0010772   -0.000129747   -0.000106808
           15            -55            -55    -0.00102084   -0.000185326   -0.000151729
           20            -55            -55   -0.000950554   -0.000231671   -0.000187404
           25            -55            -55    -0.00086913   -0.000266744   -0.000212705
           30            -55            -55   -0.000781045   -0.000291765   -0.000229345
           35            -55            -55   -0.000689711   -0.000305858   -0.000236019
           40            -55            -55   -0.000600621   -0.000311345   -0.000235148
           45            -55            -55   -0.000516499   -0.000309039   -0.000228378
           50            -55            -55   -0.000436913   -0.000300734   -0.000216092
           55            -55            -55   -0.000364785   -0.000291054   -0.000203889
           60            -55            -55   -0.000297711   -0.000278981   -0.000190092
           65            -55            -55   -0.000238103   -0.000266111   -0.000176406
           70            -55            -55   -0.000183602   -0.000254424   -0.000164097
          -70            -50            -55   -0.000173114    0.000273828    0.000187251
          -65            -50            -55   -0.000225022    0.000287493    0.000202555
          -60            -50            -55   -0.000284425    0.000302687    0.000220606
          -55            -50            -55   -0.000350881    0.000318257    0.000239915
          -50            -50            -55   -0.000428106    0.000332077    0.000258009
          -45            -50            -55   -0.000510722    0.000342947    0.000274525
          -40            -50            -55   -0.000601372    0.000346933    0.000285216
          -35            -50            -55   -0.000698137    0.000343287    0.000289306
          -30            -50            -55    -0.00080007    0.000329436    0.000283523
          -25            -50            -55   -0.000899906    0.000304202    0.000266247
          -20            -50            -55   -0.000994264    0.000264427    0.000234753
          -15            -50            -55    -0.00107781    0.000213308    0.000192266
          -10            -50            -55    -0.00114074    0.000149291    0.000135531
           -5            -50            -55    -0.00118036   7.64267e-005   6.97565e-005
            0            -50            -55    -0.00119575  -6.82677e-007  -3.94131e-007
            5            -50            -55    -0.00118131  -7.64535e-005  -6.98802e-005
           10            -50            -55    -0.00113878   -0.000148292   -0.000134435
           15            -50            -55    -0.00107586   -0.000213149   -0.000191948
           20            -50            -55   -0.000994951   -0.000263767   -0.000234492
           25            -50            -55   -0.000901367   -0.000303251    -0.00026569
           30            -50            -55   -0.000799206   -0.000328143   -0.000281492
           35            -50            -55   -0.000698597   -0.000344125   -0.000289886
           40            -50            -55   -0.000600694   -0.000346373   -0.000284619
           45            -50            -55   -0.000510201   -0.000341682    -0.00027367
           50            -50            -55   -0.000426026   -0.000331603   -0.000257596
           55            -50            -55   -0.000351156   -0.000318158   -0.000239763
           60            -50            -55   -0.000284168   -0.000302803   -0.000220767
           65            -50            -55   -0.000224179   -0.000287654   -0.000202985
           70            -50            -55   -0.000171681   -0.000273818   -0.000187283
          -70            -45            -55   -0.000157456    0.000286197    0.000212798
          -65            -45            -55   -0.000207798    0.000302654    0.000233768
          -60            -45            -55   -0.000267022    0.000319737    0.000255677
          -55            -45            -55   -0.000333885    0.000338206    0.000280581
          -50            -45            -55   -0.000413016    0.000354875    0.000305045
          -45            -45            -55   -0.000502059    0.000368815    0.000327866
          -40            -45            -55   -0.000599622    0.000376147    0.000343506
          -35            -45            -55   -0.000707305    0.000374597    0.000352442
          -30            -45            -55   -0.000819123    0.000362511    0.000349015
          -25            -45            -55   -0.000933933    0.000336123     0.00033086
          -20            -45            -55    -0.00104148    0.000293331    0.000292372
          -15            -45            -55    -0.00114014    0.000237546    0.000240694
          -10            -45            -55    -0.00120961    0.000168262    0.000171077
           -5            -45            -55     -0.0012571    8.5855e-005    8.8209e-005
            0            -45            -55    -0.00127911  -5.68826e-007  -5.86606e-007
            5            -45            -55    -0.00126042  -8.61055e-005   -8.8123e-005
           10            -45            -55    -0.00121369    -0.00016632    -0.00017013
           15            -45            -55    -0.00113529    -0.00023743   -0.000239864
           20            -45            -55    -0.00104235   -0.000294234   -0.000293607
           25            -45            -55   -0.000934167   -0.000334743   -0.000328841
           30            -45            -55   -0.000819386   -0.000362178   -0.000348773
           35            -45            -55   -0.000706106   -0.000374451    -0.00035262
           40            -45            -55   -0.000602499   -0.000375715   -0.000343398
           45            -45            -55    -0.00050092    -0.00036827    -0.00032685
           50            -45            -55   -0.000412894   -0.000354174   -0.000303749
           55            -45            -55   -0.000334463   -0.000338605   -0.000280781
           60            -45            -55   -0.000267712    -0.00031977   -0.000255591
           65            -45            -55   -0.000208617   -0.000302088   -0.000232756
           70            -45            -55   -0.000157834   -0.000285893   -0.000212479
          -70            -40            -55   -0.000142554    0.000290666    0.000241004
          -65            -40            -55   -0.000190273    0.000308322    0.000266114
          -60            -40            -55   -0.000247777    0.000327771    0.000294047
          -55            -40            -55   -0.000315505    0.000348109    0.000324765
          -50            -40            -55   -0.000395644    0.000367562    0.000356493
          -45            -40            -55   -0.000488245    0.000385183    0.000387331
          -40            -40            -55   -0.000594018    0.000395229    0.000410617
          -35            -40            -55   -0.000713969    0.000398429    0.000426539
          -30            -40            -55   -0.000839174     0.00038649    0.000424386
          -25            -40            -55   -0.000967365    0.000360606    0.000403553
          -20            -40            -55    -0.00109201    0.000318813    0.000364141
          -15            -40            -55    -0.00120335    0.000258506    0.000299031
          -10            -40            -55    -0.00129169    0.000180629     0.00021049
           -5            -40            -55    -0.00135075   9.39397e-005    0.000112087
            0            -40            -55    -0.00136804   9.50972e-007   1.09827e-006
            5            -40            -55    -0.00134872  -9.44704e-005   -0.000111194
           10            -40            -55    -0.00129251   -0.000181708   -0.000212421
           15            -40            -55    -0.00120184   -0.000258331   -0.000298468
           20            -40            -55    -0.00109298   -0.000318453   -0.000363155
           25            -40            -55   -0.000968214   -0.000360219   -0.000403959
           30            -40            -55   -0.000838162   -0.000386596   -0.000423848
           35            -40            -55   -0.000710639   -0.000397394   -0.000424781
           40            -40            -55   -0.000592552   -0.000395169   -0.000410728
           45            -40            -55   -0.000488926   -0.000384916   -0.000386996
           50            -40            -55   -0.000395257   -0.000368944   -0.000358413
           55            -40            -55   -0.000315543   -0.000348544   -0.000324943
           60            -40            -55   -0.000247988   -0.000327592   -0.000294121
           65            -40            -55   -0.000191339   -0.000307806   -0.000265297
           70            -40            -55   -0.000142333    -0.00029072   -0.000241427
          -70            -35            -55   -0.000125294      0.0002853    0.000269151
          -65            -35            -55    -0.00017075    0.000304604    0.000300885
          -60            -35            -55   -0.000225585    0.000326125    0.000336128
          -55            -35            -55    -0.00029342    0.000348546    0.000374738
          -50            -35            -55   -0.000375278    0.000370637    0.000415555
          -45            -35            -55    -0.00047225    0.000391066    0.000455523
          -40            -35            -55   -0.000587697     0.00040343    0.000487032
          -35            -35            -55   -0.000715864    0.000407734    0.000507701
          -30            -35            -55   -0.000854852    0.000399809    0.000509787
          -25            -35            -55    -0.00100157    0.000376277    0.000491841
          -20            -35            -55    -0.00114363     0.00033371    0.000444856
          -15            -35            -55     -0.0012733    0.000272154    0.000367759
          -10            -35            -55    -0.00137605    0.000192178    0.000261137
           -5            -35            -55    -0.00144254   9.88996e-005    0.000136388
            0            -35            -55    -0.00146559  -4.36654e-007  -3.80524e-007
            5            -35            -55    -0.00144359  -9.86915e-005   -0.000135309
           10            -35            -55    -0.00137571   -0.000191606   -0.000260636
           15            -35            -55    -0.00127271   -0.000269016   -0.000363405
           20            -35            -55    -0.00114263   -0.000331092   -0.000438764
           25            -35            -55    -0.00100152   -0.000376508   -0.000491704
           30            -35            -55   -0.000855715   -0.000400223   -0.000511078
           35            -35            -55   -0.000715788    -0.00040877   -0.000507291
           40            -35            -55    -0.00058495   -0.000404459   -0.000487402
           45            -35            -55   -0.000473635   -0.000390498   -0.000454619
           50            -35            -55   -0.000374664   -0.000370778    -0.00041576
           55            -35            -55    -0.00029394   -0.000348472   -0.000374591
           60            -35            -55   -0.000226719   -0.000326014   -0.000335771
           65            -35            -55   -0.000171242   -0.000304301   -0.000299653
           70            -35            -55   -0.000125178    -0.00028506   -0.000269329
          -70            -30            -55   -0.000107455    0.000270399    0.000298588
          -65            -30            -55   -0.000150447    0.000289965    0.000333842
          -60            -30            -55   -0.000204284    0.000311762    0.000377051
          -55            -30            -55   -0.000270644    0.000336095    0.000426327
          -50            -30            -55    -0.00035389    0.000359832    0.000476668
          -45            -30            -55   -0.000456034    0.000381873    0.000526801
          -40            -30            -55   -0.000573647    0.000397809    0.000567852
          -35            -30            -55   -0.000712637     0.00040526    0.000596373
          -30            -30            -55   -0.000870457    0.000399546     0.00060528
          -25            -30            -55    -0.00103339    0.000378007     0.00058574
          -20            -30            -55     -0.0011934    0.000335955    0.000531008
          -15            -30            -55    -0.00134435    0.000275048    0.000441915
          -10            -30            -55    -0.00146323    0.000194523     0.00031567
           -5            -30            -55    -0.00154151    0.000101329    0.000165168
            0            -30            -55    -0.00157158   2.07497e-006    3.1933e-006
            5            -30            -55    -0.00154553   -0.000103548   -0.000167983
           10            -30            -55    -0.00146483   -0.000195512   -0.000316467
           15            -30            -55    -0.00134789   -0.000274468   -0.000440832
           20            -30            -55    -0.00119608   -0.000336116   -0.000533019
           25            -30            -55    -0.00103283    -0.00037678   -0.000584009
           30            -30            -55   -0.000869321   -0.000400027   -0.000603927
           35            -30            -55   -0.000714098   -0.000405244   -0.000596482
           40            -30            -55   -0.000576157   -0.000398035    -0.00056826
           45            -30            -55   -0.000454486   -0.000380847   -0.000523314
           50            -30            -55   -0.000353321   -0.000360291   -0.000476472
           55            -30            -55   -0.000269774    -0.00033521   -0.000425763
           60            -30            -55   -0.000203137   -0.000311601    -0.00037817
           65            -30            -55   -0.000149333   -0.000289485   -0.000335383
           70            -30            -55   -0.000108451   -0.000270369   -0.000298206
          -70            -25            -55  -9.05761e-005    0.000245481    0.000326445
          -65            -25            -55   -0.000129393    0.000264304    0.000368597
          -60            -25            -55   -0.000179727     0.00028561    0.000419628
          -55            -25            -55   -0.000245452     0.00031011    0.000476727
          -50            -25            -55   -0.000329056    0.000333055    0.000536168
          -45            -25            -55   -0.000435312    0.000356368    0.000596822
          -40            -25            -55   -0.000561763     0.00037395    0.000650078
          -35            -25            -55   -0.000709858    0.000380514    0.000686974
          -30            -25            -55   -0.000883385    0.000378294    0.000700726
          -25            -25            -55    -0.00106419    0.000359572    0.000682593
          -20            -25            -55    -0.00124701    0.000324365    0.000625567
          -15            -25            -55    -0.00141598    0.000264624    0.000519154
          -10            -25            -55    -0.00155307    0.000188401    0.000374001
           -5            -25            -55    -0.00163992   9.85034e-005    0.000196689
            0            -25            -55    -0.00166791   2.72207e-007   1.01483e-006
            5            -25            -55    -0.00164486  -9.81396e-005    -0.00019695
           10            -25            -55    -0.00155046   -0.000191639   -0.000378524
           15            -25            -55    -0.00141349   -0.000265652    -0.00052024
           20            -25            -55    -0.00124645    -0.00032234   -0.000620958
           25            -25            -55    -0.00106286   -0.000360465   -0.000682832
           30            -25            -55   -0.000880841   -0.000381148   -0.000703702
           35            -25            -55   -0.000711672   -0.000382757   -0.000690237
           40            -25            -55   -0.000561576   -0.000372721   -0.000646902
           45            -25            -55   -0.000431888   -0.000355291   -0.000597203
           50            -25            -55   -0.000330304   -0.000333212   -0.000536118
           55            -25            -55   -0.000245602    -0.00030996   -0.000476144
           60            -25            -55   -0.000179377   -0.000285624   -0.000419421
           65            -25            -55   -0.000129456   -0.000263963   -0.000368525
           70            -25            -55  -9.02309e-005   -0.000245842   -0.000326818
          -70            -20            -55  -7.46344e-005    0.000210941    0.000351959
          -65            -20            -55   -0.000110065    0.000226846    0.000400074
          -60            -20            -55   -0.000158222    0.000247309    0.000458203
          -55            -20            -55   -0.000221216    0.000269631     0.00052265
          -50            -20            -55    -0.00030688    0.000291199    0.000591772
          -45            -20            -55   -0.000414546    0.000312578    0.000663742
          -40            -20            -55   -0.000548887    0.000330025    0.000727068
          -35            -20            -55   -0.000708021    0.000339638    0.000776672
          -30            -20            -55   -0.000890215    0.000340479    0.000799876
          -25            -20            -55    -0.00108799    0.000322954    0.000776495
          -20            -20            -55       -0.00129    0.000292546    0.000718649
          -15            -20            -55    -0.00148063    0.000242245    0.000602867
          -10            -20            -55    -0.00163229    0.000171373    0.000432864
           -5            -20            -55    -0.00173413   8.93518e-005      0.0002277
            0            -20            -55    -0.00176577  -2.50521e-006  -4.72265e-006
            5            -20            -55     -0.0017304  -9.02183e-005   -0.000226518
           10            -20            -55    -0.00163117   -0.000172014   -0.000433502
           15            -20            -55    -0.00147745   -0.000240443   -0.000598575
           20            -20            -55    -0.00128698   -0.000292973    -0.00071724
           25            -20            -55    -0.00108983   -0.000325793   -0.000782463
           30            -20            -55   -0.000890716   -0.000340318   -0.000795065
           35            -20            -55   -0.000706498     -0.0003413   -0.000779608
           40            -20            -55   -0.000550188   -0.000330831   -0.000727629
           45            -20            -55   -0.000412718   -0.000313611   -0.000664295
           50            -20            -55   -0.000305412   -0.000291487   -0.000593796
           55            -20            -55   -0.000222518   -0.000269374   -0.000523226
           60            -20            -55   -0.000158099    -0.00024704   -0.000456505
           65            -20            -55   -0.000109358   -0.000227151   -0.000399511
           70            -20            -55  -7.40024e-005   -0.000210661    -0.00035225
          -70            -15            -55  -6.03997e-005    0.000166947    0.000373584
          -65            -15            -55  -9.37433e-005    0.000180152    0.000425983
          -60            -15            -55   -0.000139013    0.000197412    0.000490599
          -55            -15            -55   -0.000200474    0.000215275    0.000563963
          -50            -15            -55   -0.000286177    0.000234359    0.000641869
          -45            -15            -55   -0.000393876    0.000253039    0.000724551
          -40            -15            -55   -0.000534291    0.000269237    0.000801055
          -35            -15            -55   -0.000702695    0.000280086    0.000857002
          -30            -15            -55   -0.000895583    0.000279043    0.000883407
          -25            -15            -55    -0.00111078    0.000267216    0.000868302
          -20            -15            -55    -0.00132896    0.000240061    0.000794783
          -15            -15            -55    -0.00153407    0.000198851    0.000675131
          -10            -15            -55    -0.00170429     0.00014366     0.00048889
           -5            -15            -55    -0.00180956   7.41708e-005      0.0002556
            0            -15            -55    -0.00184873  -1.56471e-006  -4.10689e-006
            5            -15            -55    -0.00181367  -7.51274e-005   -0.000258187
           10            -15            -55    -0.00170326   -0.000143099   -0.000485659
           15            -15            -55    -0.00153502   -0.000199597   -0.000674675
           20            -15            -55    -0.00133078   -0.000239647    -0.00079598
           25            -15            -55    -0.00110981   -0.000266486   -0.000865292
           30            -15            -55   -0.000897578   -0.000279227    -0.00088334
           35            -15            -55   -0.000700755   -0.000279934   -0.000856303
           40            -15            -55     -0.0005307    -0.00026908    -0.00079859
           45            -15            -55   -0.000395385   -0.000254076   -0.000726129
           50            -15            -55   -0.000286883   -0.000234291   -0.000642745
           55            -15            -55   -0.000201592   -0.000215268   -0.000562077
           60            -15            -55   -0.000138668    -0.00019768   -0.000490319
           65            -15            -55  -9.16636e-005   -0.000180134   -0.000425817
           70            -15            -55  -6.02964e-005   -0.000167126   -0.000374201
          -70            -10            -55  -4.97761e-005    0.000115909    0.000389913
          -65            -10            -55  -7.97458e-005    0.000125774    0.000447273
          -60            -10            -55     -0.0001237    0.000137602    0.000514497
          -55            -10            -55   -0.000184432    0.000150127    0.000595106
          -50            -10            -55   -0.000269403    0.000164539    0.000681295
          -45            -10            -55   -0.000380082     0.00018042    0.000771703
          -40            -10            -55   -0.000522041     0.00018941    0.000853577
          -35            -10            -55   -0.000696515    0.000197115    0.000916227
          -30            -10            -55   -0.000901538    0.000198217     0.00095323
          -25            -10            -55    -0.00112919    0.000191363    0.000940978
          -20            -10            -55    -0.00135917    0.000171972    0.000861085
          -15            -10            -55    -0.00157489    0.000142465    0.000730513
          -10            -10            -55    -0.00175504     0.00010227     0.00053011
           -5            -10            -55    -0.00187573    5.3571e-005    0.000279012
