35	24,90909091	5,272727273	0	0	-15
33	24,81818182	6	0	2	-15
31	25,45454545	7	0	4	-15
29	25,63636364	8,545454545	0	6	-15
27	25,54545455	10,18181818	0	8	-15
25	25,63636364	10,81818182	0	10	-15
23	25,81818182	11,81818182	0	12	-15
21	24,72727273	13,54545455	0	14	-15
19	25,81818182	14,90909091	0	16	-15
17	24,63636364	15,45454545	0	18	-15
15	25,09090909	17,54545455	0	20	-15
35	22,27272727	5,727272727	8	0	-15
33	23	6,363636364	8	2	-15
31	22,63636364	8	8	4	-15
29	23,36363636	9,545454545	8	6	-15
27	23,63636364	11,18181818	8	8	-15
25	22,81818182	11,81818182	8	10	-15
23	22,09090909	14	8	12	-15
21	22,63636364	14,72727273	8	14	-15
19	22,72727273	16,45454545	8	16	-15
17	24,18181818	17	8	18	-15
15	23	18,81818182	8	20	-15
35	23,81818182	5,727272727	18	0	-15
33	23,81818182	6	18	2	-15
31	24	7,454545455	18	4	-15
29	24,81818182	8,818181818	18	6	-15
27	24	10,81818182	18	8	-15
25	24	12,45454545	18	10	-15
23	25,27272727	14,18181818	18	12	-15
21	25,09090909	15,36363636	18	14	-15
19	25,45454545	16,54545455	18	16	-15
17	26	17,09090909	18	18	-15
15	24,27272727	19,54545455	18	20	-15
35	28,18181818	7,909090909	28	0	-15
33	28,09090909	9,090909091	28	2	-15
31	28	9,818181818	28	4	-15
29	28,18181818	11	28	6	-15
27	28,18181818	11,90909091	28	8	-15
25	27,72727273	12,54545455	28	10	-15
23	27,09090909	14,54545455	28	12	-15
21	27,72727273	16,18181818	28	14	-15
19	27,09090909	16,90909091	28	16	-15
17	25,45454545	18	28	18	-15
15	25,63636364	18,81818182	28	20	-15
