35	-5.261437908	0	1.503267974	0	18	0	13
33	-4.110726644	0	1.712802768	0	18	2	13
31	-3.571428571	0	1.428571429	0	18	4	13
29	-2.823529412	0	0.705882353	0	18	6	13
27	-0.882352941	0	0.882352941	0	18	8	13
35	-6.745098039	0	3.37254902	0	26	0	13
33	-6.039215686	0	3.019607843	0	26	2	13
31	-4.79144385	0	2.737967914	0	26	4	13
29	-3.639705882	0	2.183823529	0	26	6	13
27	-2	0	2	0	26	8	13
25	-0.852941176	0	0.852941176	0	26	10	13
33	-7.098039216	0	3.549019608	0	28	2	13
31	-4.905370844	0	3.153452685	0	28	4	13
29	-3.464052288	0	2.77124183	0	28	6	13
27	-2.342245989	0	1.951871658	0	28	8	13
25	0	0	1.529411765	0	28	10	13
